ID,Bezirk,Standort,Vertrag,Betreiber,Modelltyp,Symbol,Öffnungszeiten,Nutzungsentgelt,Zahlungsart,Barrierefrei,Barrierearm,Wickeltisch
136,Neukölln,"Thomashöhe, Thomasstr. ggü. 11-15 hinter Mittelweg",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
137,Pankow,"Hugenottenplatz, Schweizer Tal ggü. 48 vor Rosenthaler Weg",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
138,Neukölln,Schillerpromenade 37 Mittelinsel hinter Herrfurthplatz,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
139,Tempelhof-Schöneberg,Im Domstift vor Lichtenrader Damm,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
140,Marzahn-Hellersdorf,Roedernstr. vor Hultschiner Damm 75,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
141,Neukölln,Sonnenallee 262 vor Grenzallee,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
142,Marzahn-Hellersdorf,Quedlinburger Str. hinter 1 vor  Stendaler Str. 30,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
143,Tempelhof-Schöneberg,Hranitzkistr. vor Marienfelder Allee 27,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
144,Neukölln,"Boddinplatz, Mainzer Str. hinter Boddinstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
145,Marzahn-Hellersdorf,Debenzer Str. ggü. 36 vor Beruner Str. (Biesdorfer Baggersee),Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
146,Steglitz-Zehlendorf,Steglitzer Damm vor 39/39a hinter Immenweg,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
147,Tempelhof-Schöneberg,"Bosepark, Manteuffelstr. ggü. 9 hinter Bosestr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
148,Mitte,Invalidenstr. ggü. 44 am Platz vor dem Neuen Tor,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
149,Pankow,Achillesstr. ggü. 59 hinter Bucher Chaussee,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
150,Tempelhof-Schöneberg,"Attilaplatz, Attilastr. ggü. 176 vor Manteuffelstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
152,Treptow-Köpenick,Griechische Allee 2 Mittelinsel hinter Edisonstr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
153,Neukölln,"Kranoldplatz, Bendastr. ggü. Kranoldstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,nein
154,Treptow-Köpenick,Plesser Str. 7 vor Karl-Kunger-Str.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
156,Marzahn-Hellersdorf,"U-Bhf. Kienberg, Neue Grottkauer Str. hinter Etkar-Andre-Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,ja
159,Mitte,Edinburger Str. 38 vor Barfusstr. staw. (Schillerpark),Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
160,Treptow-Köpenick,"S-Bhf. Adlershof, Rudower Chaussee 1 - 3 hinter Franz-Ehrlich-Str.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
161,Marzahn-Hellersdorf,"S-Bhf. Biesdorf, Wuhlgartenweg hinter Oberfeldstr.",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
162,Charlottenburg-Wilmersdorf,"Olympiastadion, Trakehner Allee hinter ggü. 7 vor Coubertinplatz",Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 2 Plätzen,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
163,Treptow-Köpenick,Wernsdorfer Str. ggü. 1 hinter Alt-Schmöckwitz,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
164,Tempelhof-Schöneberg,Munsterdamm vor Prellerweg,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette mit 1 Platz,WC,24h,0.5,Karte/App/Paypal/BVG-Guthabenkarte,ja,ja,nein
165,Lichtenberg,Möllendorffstr. hinter Kielblockstr.,Toilettenvertrag mit Wall,Wall GmbH,Berliner Toilette 1 Platz mit 2 Pissoirs,WC,24h,0.0,-,ja,ja,ja
