ortsteil,animal_training,subdistrict_num_bars,bathing_place,subdistrict_num_cafes,childcare,subdistrict_num_clinics,community_centre,dog_park,fast_food,fitness_station,subdistrict_num_forests,fountain,garden,subdistrict_num_grass_areas,greenfield,subdistrict_num_hospitals,subdistrict_num_kindergartens,marina,meadow,nature_reserve,subdistrict_num_nightclubs,subdistrict_num_parks,parking,subdistrict_num_pharmacies,pitch,subdistrict_num_playgrounds,subdistrict_num_restaurants,subdistrict_num_schools,subdistrict_num_supermarkets,theatre,subdistrict_num_universities,subdistrict_num_wood_areas
ortsteil_22,0,14,0,79,0,9,0,0,0,0,31,0,0,309,0,3,81,0,0,0,1,42,0,22,0,62,168,36,33,0,6,0
ortsteil_23,0,2,0,11,0,1,0,0,0,0,36,0,0,159,0,2,10,0,0,0,1,15,0,7,0,30,20,7,8,0,1,0
ortsteil_24,0,0,0,3,0,0,0,0,0,0,41,0,0,94,0,0,6,0,0,0,0,32,0,1,0,10,15,5,1,0,0,5
ortsteil_25,0,4,0,21,0,1,0,0,0,0,30,0,0,157,0,3,23,0,0,0,0,32,0,11,0,36,46,18,11,0,0,28
ortsteil_26,0,0,0,2,0,0,0,0,0,0,7,0,0,56,0,0,10,0,0,0,1,17,0,3,0,73,7,6,4,0,0,12
ortsteil_27,0,3,0,14,0,2,0,0,0,0,5,0,0,16,0,0,11,0,0,0,1,5,0,4,0,5,26,1,8,0,0,0
ortsteil_28,0,3,0,23,0,2,0,0,0,0,5,0,0,156,0,1,21,0,0,0,1,43,0,13,0,44,42,19,24,0,0,5
ortsteil_29,0,1,0,3,0,0,0,0,0,0,3,0,0,60,0,0,9,0,0,0,0,15,0,1,0,44,9,5,5,0,0,12
ortsteil_3,0,15,0,34,0,0,0,0,0,0,0,0,0,457,0,2,9,0,0,0,2,29,0,2,0,28,63,7,4,0,2,123
ortsteil_30,0,0,0,1,0,0,0,0,0,0,6,0,0,26,0,0,8,0,0,0,0,14,0,3,0,22,20,4,7,0,0,2
ortsteil_31,0,0,0,3,0,0,0,0,0,0,7,0,0,93,0,0,18,0,0,0,0,46,0,4,0,58,15,9,9,0,0,12
ortsteil_32,0,0,0,3,0,1,0,0,0,0,3,0,0,5,0,0,4,0,0,0,0,6,0,0,0,8,9,4,1,0,0,8
ortsteil_33,0,0,0,7,0,0,0,0,0,0,21,0,0,47,0,1,9,0,0,0,0,27,0,2,0,22,13,5,5,0,0,18
ortsteil_34,0,1,0,8,0,0,0,0,0,0,16,0,0,45,0,1,14,0,0,0,0,30,0,5,0,88,16,9,8,0,0,19
ortsteil_35,0,0,0,0,0,1,0,0,0,2,21,0,0,60,0,1,15,0,0,0,0,12,0,3,0,38,11,8,6,0,0,0
ortsteil_36,0,4,0,9,0,1,0,0,0,0,14,0,0,138,0,0,18,0,0,0,0,35,0,10,0,51,30,12,13,0,0,11
ortsteil_37,0,9,0,50,0,2,1,0,0,0,3,0,0,246,1,1,53,0,0,0,0,51,0,19,0,46,84,22,28,0,13,3
ortsteil_38,0,3,0,22,0,5,0,0,0,0,117,0,0,237,0,2,52,0,0,0,0,53,0,11,0,83,68,19,27,0,6,17
ortsteil_39,0,2,0,4,0,2,0,0,0,0,5,0,0,163,0,1,29,0,0,0,0,37,0,5,0,61,21,10,14,0,4,15
ortsteil_4,0,62,0,75,0,22,0,0,0,0,10,0,0,459,0,2,76,0,0,0,2,63,0,16,0,108,81,16,27,0,3,155
ortsteil_40,0,4,0,17,0,2,0,0,0,0,17,0,0,232,0,2,31,0,0,0,0,75,0,15,0,76,51,23,18,0,2,18
ortsteil_41,0,0,0,26,0,6,0,0,0,0,36,0,0,253,0,0,16,0,0,0,0,39,0,4,0,34,19,11,4,0,36,2
ortsteil_42,0,0,0,6,0,2,0,0,0,0,31,0,1,57,0,3,11,0,0,0,0,15,0,2,0,14,18,9,6,0,1,12
ortsteil_43,0,0,0,6,0,1,0,0,0,0,15,0,0,66,0,1,4,0,0,0,0,11,0,2,1,5,23,3,4,0,0,183
ortsteil_44,0,61,0,159,0,2,1,0,0,0,24,0,0,771,0,3,108,0,0,0,4,52,0,30,0,140,225,33,55,0,2,9
ortsteil_45,0,6,0,24,0,0,0,0,0,0,0,0,0,301,0,0,38,0,0,0,0,11,0,7,0,16,56,6,15,0,0,0
ortsteil_46,0,6,0,23,0,1,0,0,0,0,4,0,2,405,0,2,43,0,0,0,2,55,0,10,0,64,42,14,28,0,1,17
ortsteil_47,0,2,0,13,0,2,0,0,0,0,24,0,0,189,0,0,34,0,0,0,0,28,0,10,0,57,38,9,17,0,0,4
ortsteil_48,0,1,0,3,0,0,0,0,0,0,5,0,0,146,0,0,25,0,0,0,0,13,0,5,0,45,16,8,14,0,0,8
ortsteil_49,0,1,0,7,0,1,0,0,0,0,8,0,0,73,0,0,27,0,0,0,0,34,0,10,0,52,30,17,13,0,0,2
ortsteil_5,0,49,0,53,0,1,0,0,0,0,0,0,2,243,0,2,61,0,0,0,2,48,0,17,0,125,53,30,24,0,3,9
ortsteil_50,0,119,0,193,0,3,0,0,0,0,49,0,1,667,0,1,101,0,0,0,7,33,1,32,0,163,219,33,66,0,1,52
ortsteil_51,0,1,0,13,0,0,0,0,0,0,47,0,3,378,0,0,22,0,0,0,1,53,0,5,0,81,31,19,16,0,0,46
ortsteil_52,0,2,0,1,0,3,0,0,0,0,1,0,0,63,0,2,21,0,0,0,1,27,0,8,0,82,29,11,18,0,0,6
