PLR,full_time_employees,median_income_eur
Marienfelder Allee Nordwest,1963,3493
Kirchstraße,1076,4291
Marienfelde Nordost,493,•
Tirschenreuther Ring West,1100,3303
Tirschenreuther Ring Ost,1367,3325
Diedersdorfer Weg,482,•
Kettinger Straße,2185,4080
Töpchiner Weg,2319,3992
John-Locke-Straße,1820,3507
Nahariyastraße,1521,3201
Franziusweg,1524,4393
Horstwalder Straße,742,4001
Wittelsbacherstraße,566,4419
Hasenheide,1043,4388
Schillerpromenade Nord,1792,4042
Schillerpromenade Süd,1679,3966
Wartheplatz,1519,3802
Silbersteinstraße,1380,4247
Flughafenstraße,1936,3939
Rollberg,1160,3363
Körnerpark,2514,3831
Glasower Straße,1806,3698
Maybachufer,1672,4561
Reuterplatz,1558,4287
Weichselplatz,2441,4038
Bouchéstraße,734,3551
Donaustraße,1691,3968
Ganghoferstraße,1446,3955
Alt-Rixdorf,1315,4024
Braunschweiger Straße,1954,3822
Hertzbergplatz,2036,3794
Treptower Straße Nord,1249,3630
Weiße Siedlung,845,3014
Schulenburgpark,1320,2963
Jahnstraße,1057,3262
Park am Buschkrug,1233,3466
Tempelhofer Weg,1885,3355
Mohriner Allee Nord,491,•
Hufeisensiedlung,1303,3828
Parchimer Allee Süd,1971,3426
Ortolanweg,190,•
Britzer Garten,428,•
Handwerker-Siedlung,676,3428
Buckow West,1936,3836
Buckow Mitte,2362,3609
Buckow Ost,1779,3356
Gropiusstadt Nord-West,2317,3321
Gropiusstadt Süd-West,1495,3310
Gropiusstadt Mitte,1383,3257
Gropiusstadt Süd-Ost,2039,3131
Goldhähnchenweg,485,•
Vogelviertel Süd,892,3616
Vogelviertel Nord,538,3671
Blumenviertel,1612,3979
Zittauer Straße,1396,4005
Alt-Rudow,2012,3634
Waßmannsdorfer Chaussee,1425,4180
Frauenviertel,967,3687
Waltersdorfer Chaussee Ost,1494,3774
Alt-Treptow,3218,4445
Plänterwald West,1099,4180
Plänterwald Ost,1929,3467
Baumschulenweg West,3171,3805
Baumschulenweg Ost,1239,3832
Späthsfelde,635,4346
Johannisthal West,2271,3738
Johannisthal Ost,2652,3806
Landschaftspark Adlershof,976,4141
Helmholtz-Kiez,2325,3640
Griechischer Park,3664,3611
Wuhlheide,1166,3798
Bahnhof Schöneweide,3246,3928
Oberspree,947,3679
Wista,1375,4194
Dörpfeldstraße Ost,2240,3825
Dörpfeldstraße West,2917,3826
Spindlersfeld,1418,4227
Köllnische Vorstadt,2310,3347
Dorf Altglienicke,3672,4121
Preußen Siedlung,766,4335
Kosmos Viertel,1313,2937
Kölner Viertel,2156,3548
Falkenberg,1052,4071
Alt-Bohnsdorf,2976,3689
Grünau,2327,4377
Karolinenhof,429,•
Schmöckwitz/Rauchfangswerder,647,4512
Kietzer Feld/ Nachtheide,2532,3799
Wendenschloß,413,•
Allende I,1180,3541
Siedlung Kämmereiheide,399,•
Allende II,872,3151
Altstadt Köpenick,1959,3486
Müggelheim,1786,4109
Hirschgarten,1088,3878
Alt-Friedrichshagen,3214,4299
Rahnsdorf,2344,4581
Bahnhofstraße,2128,4170
Güterbahnhof Köpenick,815,3790
Friedrichshagener Straße,848,4713
Mittelheide,1160,4404
Dammheide,2362,3862
Marzahn West,1496,2989
Rosenbecker Straße,943,3040
Wittenberger Straße,1793,2973
Golliner Straße,2001,2964
Gewerbegebiet Bitterfelder Straße,97,•
Wuhletalstraße,2775,3057
Ahrensfelder Berge,2238,2982
Bürgerpark,2357,3086
Lea-Grundig-Straße,2177,3081
Marzahner Promenade,2294,3026
Marzahner Chaussee,631,3410
Springpfuhl,3725,3224
Alt-Marzahn,1055,3344
Auersbergstraße,1426,3261
Bärenstein,1846,3125
Landsberger Tor,957,3747
Zossener Straße,1993,2890
Kyritzer Straße,2222,3137
Havelländer Ring,1186,2991
