ortsteil,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
kladow,-3.7313917791164877,-0.16767907946852675,0.4716181851726973,0.09801782273673967,-0.42761819206619134,0.35113265903938806,0.4746280508489055,-0.39230907756951966,-0.7956329156962791,0.8636000095290042,-1.3043455285962091,-0.23099618951653922,-0.38930175248328014,-0.6050380219352169,-0.2271548938208919,-0.4932232663841573,0.15291270169987703,-0.027175140217261445,0.01273510421320247,-0.2527080803008421,-0.18381833905101921,0.1932977840061147,0.06333286915538767
konradshoehe,-5.487516453512971,0.28473734921659016,0.6771468093337049,0.15070819729876586,-0.0855138256799108,0.21412759641293394,0.46805312317578085,-0.48331420001757885,-0.3668597600685875,-0.4887896964094245,-0.4403084553193692,-0.37387799982149716,-0.11556527079129851,0.22959999598630454,-0.07315462824448069,-0.21804583484383772,-0.08408324407176415,-0.03182981556838362,0.1880717257966206,0.05486381066266477,0.011944702003343806,-0.2575821342953616,0.1340836198825938
kreuzberg,17.86248215255493,1.4942967691698683,0.42724494964225124,-2.354853965708041,1.1418815433614855,-2.07133435749672,-1.0950931912780804,-0.07005761714202124,2.2327716213118474,0.6609772459529885,0.2521026284534821,0.3277464202414736,-0.4196091256760839,-0.8933466729613623,-0.18909031356837933,-1.1545578262466143,-1.4167327371585807,0.3799888626121287,0.5957886559070465,-0.597307963341767,-0.7586417750748018,-1.0928361842784533,-3.6823704675262214
koepenick,3.8919061062623057,-3.5017133275547097,-2.5134894201346962,1.5415049356660346,-1.423284027138928,1.9890102971165982,1.5149938290249143,-1.2932389610687829,-0.9913053990558262,-2.270968844499915,1.4474164578587039,3.4778656877966467,-0.7745634909412844,-2.406470809191979,-0.010955066076661062,1.3793729708813278,0.17967283398378592,1.4659547231461665,0.6404770497751098,-0.9211598046839616,0.3810792612972064,-1.964464201681718,-0.30336835810933704
lankwitz,0.2640649522526698,-1.6563777378148048,-1.178782775328107,0.8021776840967896,-0.6814019913067957,0.7558637664343016,0.472120976320813,-0.3478022505995397,-0.04209847955811072,-0.4464525964751647,0.3438777442887954,0.24814279670270267,-0.024082376597565684,-0.1751940875737234,-0.1141443992354219,0.20326953844501913,-0.04665919996074086,0.031817516217058306,-0.037936893393655115,0.022954638803711486,-0.03671538389123893,-0.022412725279441492,-0.03369169908943774
lichtenberg,0.1918569185715955,0.6620071423204034,-0.30811065027337126,-0.37173307056240573,0.5618156804594524,-0.4348876286647269,-0.2363395996750988,0.2321603674214674,0.43435076853833116,0.20042224461875593,1.5397923169143553,-0.2620359055658765,-0.06170306616021254,0.2503086002009599,-0.47786165401215785,0.4975057375658181,-0.007209998094425643,0.11252071531203003,-0.05481698070237264,0.03324723606070095,-0.07863371015878123,-0.47526194724304793,0.016561859651333114
lichtenrade,1.7661835299915354,-2.7593883135984343,-1.193790248894086,0.9793995360503868,-1.29047979524887,1.2891711017626795,0.41753920120227717,-0.3503113482580808,-2.026865592293573,1.0463122551460657,-0.825928998077977,-0.7092901482069535,-0.19472012463626232,-0.3310410153820134,0.3866262094123062,0.03404041086708432,0.1891746449495636,0.17176047183554696,-0.578345004250526,-0.4552397814853192,-0.18595977580615236,0.4943668662744534,-0.0017026646509750195
lichterfelde,7.037189925516213,-4.396682671321729,-2.5545812453258985,1.5747337027080996,-1.7093218897910627,1.768570295141841,0.5458845582510403,-0.5663448732254528,-0.769495065427784,0.34283445084503,-0.33016246607981015,-0.06441671100771142,-0.2893238304049535,-0.8359746040926854,0.20216363028630308,-0.08635013261089389,0.17094706760925965,0.11198965516990038,-0.451844184289409,-0.18035124669639765,-0.05907206098737869,0.7387717570272299,-0.24837476615671253
luebars,-5.210911511951618,0.7555333462193163,0.6612222122674146,-0.195754958818083,0.2592809888034626,-0.2517974576482067,0.07293604580414469,0.1286268761981116,-0.10218526140400329,-0.3657680663340788,-0.024325288023533495,-0.14552667555680154,-0.07603294830016465,0.061582984033651596,-0.31201122079256377,-0.14289452409094494,0.061077655425289534,-0.12384063730024963,-0.015833270010930506,0.07512408056331557,0.1055814344821931,-0.32107595180134757,0.2972573676734636
mahlsdorf,-1.084838623897332,-0.8272997520592934,0.4477235231260742,0.5493942361933674,-1.2412955360914502,1.1207797510551216,-0.15073843813731844,-0.46004444574694286,-1.5128444071639136,2.6433143250902758,-1.1047428772323091,-2.153390407946441,0.12312423752465403,-0.08884621709174637,-0.30747794496490993,0.7669644886140428,0.2925247631260741,0.33123707593011803,-0.7328397026018322,-0.6678095503512461,-0.4368175090683822,0.06650362906514348,0.1195160925009534
malchow,-5.660461868258719,1.5191780567524191,1.8033804232222892,-0.2599184128147931,0.23449833487403562,-0.0585291976186797,0.0921521810868463,-0.2624623910951125,3.487445260737525,-0.7854094831658975,0.5483616751848275,-0.6796724444829029,0.7197398426023611,-1.1909380722116307,3.515950392744068,-0.8818604580112058,0.7856319403667505,0.41219060502832544,-1.2077782160629063,-1.8927925471339309,1.040864621476979,0.45567278424488095,-0.372004563345765
mariendorf,2.0114540065564714,-2.5793446188791607,-1.6085149393777902,1.1857437346342514,-0.951896585292744,1.259900486463578,0.6035231967948587,-0.3863381692181207,-0.6502779040402208,0.06655569967625438,0.6141967271662785,0.6787545658413987,0.04356055029395822,0.09103534582030413,0.5652919925194695,0.09083094475076285,0.1628890717059662,0.013311287761585494,-0.23620923120909948,0.049381633830264116,0.0836855109410302,0.5181366316767463,0.007369062033456883
marienfelde,-1.6028075082706352,-1.0643448569327598,-1.006340459374496,0.12470929975646283,0.17063047634352815,0.055238954487660905,0.15815881038505955,0.052292396254776524,-0.7130193518404385,-0.5436908813587522,-0.2153154647918267,0.3164446751367262,-0.2560214330158669,-0.08745157465506846,0.3860148228049622,-0.34495906780081564,-0.022552246799386964,-0.009479563494992892,0.043293141862885375,-0.043185664666349224,0.034682998168601674,0.09092025635713952,0.03174286929787361
