bezirk,ortsteil,subdistrict_population_age_0_5,subdistrict_population_age_5_10,subdistrict_population_age_10_15,subdistrict_population_age_15_20,subdistrict_population_age_20_25,subdistrict_population_age_25_30,subdistrict_population_age_30_35,subdistrict_population_age_35_40,subdistrict_population_age_40_45,subdistrict_population_age_45_50,subdistrict_population_age_50_55,subdistrict_population_age_55_60,subdistrict_population_age_60_65,subdistrict_population_age_65_70,subdistrict_population_age_70_75,subdistrict_population_age_75_80,subdistrict_population_age_80_85,subdistrict_population_age_85_90,subdistrict_population_age_90_95,subdistrict_population_age_95_plus,subdistrict_male_population,subdistrict_female_population,total_population,subdistrict_senior_population,subdistrict_youth_population,subdistrict_senior_share,subdistrict_youth_share,subdistrict_middle_age_population,Unnamed: 0,subdistrict_avg_mietspiegel_classification,subdistrict_total_full_time_employees,subdistrict_avg_median_income_eur,classification_category,alcohol,animal_training,antiques,art,bar,bathing_place,books,butcher,childcare,clothes,community_centre,confectionery,convenience,deli,dog_park,electronics,fitness_station,florist,fountain,games,garden,greenfield,greengrocer,hairdresser,ice_cream,kiosk,marina,nature_reserve,nightclub,parking,pitch,playground,restaurant,second_hand,stationery,supermarket,theatre,travel_agency,vacant,wine,yes,cafes,bakeries,green_space,schools,medical,k4_cluster
reinickendorf,heiligensee,763.0,863.0,840.0,842.0,699.0,508.0,775.0,925.0,933.0,1001.0,1516.0,1742.0,1452.0,1352.0,1195.0,1230.0,962.0,357.0,126.0,18.0,8893,9206,18099,5240.0,3308.0,0.2895187579424277,0.1827725288689982,0.5277087131885739,50,2.0080645161290325,155992.0,4801.0,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,0,0,8,0,0,0,0,0,3,0,71,17,2,0
pankow,heinersdorf,380.0,390.0,357.0,338.0,365.0,368.0,592.0,536.0,481.0,500.0,644.0,739.0,517.0,472.0,351.0,314.0,236.0,133.0,53.0,13.0,4022,3757,7779,1572.0,1465.0,0.2020825298881604,0.1883275485280884,0.6095899215837511,39,1.9672131147540983,0.0,4091.331818181818,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,6,0,0,0,0,0,2,0,81,3,1,0
marzahn-hellersdorf,hellersdorf,5126.0,5050.0,4358.0,3528.0,4200.0,5370.0,8736.0,7208.0,5178.0,3752.0,5212.0,7344.0,6266.0,4351.0,2669.0,2266.0,1959.0,1045.0,398.0,87.0,41415,42688,84103,12775.0,18062.0,0.1518970785822146,0.21476047227804,0.6333424491397454,20,1.5,2913296.0,3087.3,moderate,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,16,0,0,25,0,0,0,0,0,6,0,619,65,15,2
reinickendorf,hermsdorf,673.0,786.0,784.0,736.0,665.0,521.0,690.0,812.0,844.0,1004.0,1332.0,1512.0,1175.0,1145.0,1164.0,1322.0,979.0,389.0,161.0,32.0,8063,8663,16726,5192.0,2979.0,0.3104149228745665,0.1781059428434772,0.5114791342819562,51,2.490322580645161,2433655.0,4499.222222222223,moderate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0,0,6,0,0,0,0,0,3,2,36,26,5,0
treptow-koepenick,johannisthal,954.0,882.0,758.0,768.0,935.0,1147.0,1669.0,1482.0,1294.0,1112.0,1475.0,1627.0,1167.0,965.0,734.0,955.0,1215.0,589.0,177.0,55.0,9605,10355,19960,4690.0,3362.0,0.2349699398797595,0.168436873747495,0.5965931863727455,88,1.8333333333333333,69888.0,4138.0,moderate,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,0,0,6,0,0,0,0,0,5,0,252,20,3,0
lichtenberg,karlshorst,1746.0,1739.0,1460.0,1096.0,1308.0,1620.0,2377.0,2665.0,2357.0,1801.0,2026.0,2012.0,1487.0,1198.0,834.0,945.0,888.0,415.0,182.0,50.0,13815,14391,28206,4512.0,6041.0,0.1599659646883642,0.2141742891583351,0.6258597461533008,13,2.388235294117647,349350.0,3710.0,moderate,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,17,0,0,8,0,0,0,0,0,6,0,116,36,6,0
pankow,karow,1147.0,1184.0,1036.0,907.0,850.0,723.0,1364.0,1521.0,1371.0,1155.0,1538.0,1724.0,1296.0,1075.0,745.0,855.0,679.0,387.0,122.0,15.0,9579,10115,19694,3878.0,4274.0,0.1969127653092312,0.2170204123083172,0.5860668223824516,40,1.9908256880733943,431204.0,3620.0,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,5,0,0,6,0,0,0,0,0,2,0,249,18,4,0
marzahn-hellersdorf,kaulsdorf,821.0,929.0,910.0,768.0,630.0,525.0,1029.0,1238.0,1305.0,1155.0,1641.0,2219.0,1742.0,1455.0,918.0,996.0,720.0,288.0,93.0,26.0,9613,9795,19408,4496.0,3428.0,0.2316570486397361,0.1766281945589447,0.591714756801319,21,2.061224489795918,923944.0,3572.6666666666665,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,11,0,0,9,0,0,0,0,0,2,0,294,16,6,0
spandau,kladow,737.0,953.0,979.0,879.0,626.0,399.0,546.0,907.0,1086.0,1028.0,1396.0,1372.0,1108.0,1015.0,1067.0,1061.0,741.0,281.0,148.0,39.0,8044,8324,16368,4352.0,3548.0,0.2658846529814271,0.2167644183773216,0.5173509286412512,63,2.4563106796116503,589778.0,5171.5,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,13,0,0,6,0,0,0,0,0,6,0,113,14,3,0
reinickendorf,konradshoehe,218.0,262.0,294.0,314.0,228.0,163.0,207.0,239.0,323.0,330.0,532.0,565.0,456.0,418.0,437.0,483.0,357.0,127.0,48.0,10.0,2901,3110,6011,1880.0,1088.0,0.3127599401097987,0.1810014972550324,0.5062385626351689,52,2.0,0.0,4109.027777777778,moderate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,1,0,6,5,1,0
friedrichshain-kreuzberg,kreuzberg,7467.0,6675.0,6615.0,6247.0,8911.0,13764.0,16984.0,15055.0,13294.0,10926.0,10763.0,11077.0,8035.0,5888.0,4351.0,3240.0,2282.0,1064.0,349.0,148.0,78411,74724,153135,17322.0,27004.0,0.1131158781467332,0.1763411369053449,0.7105429849479218,8,1.6359832635983265,4997012.0,4006.0,moderate,0,0,0,0,90,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,198,414,0,0,57,0,0,0,0,0,247,2,1041,202,35,1
